np_id,target_chembl_id,uniprot_id,target_organism,smiles
NPC168829,CHEMBL6135,B4URF0,Influenza A virus,C=CCc1ccc(c(c1)c1ccc(c(c1)CC=C)O)O
NPC481465,CHEMBL3180,O00748,Homo sapiens,C[C@@]1(c2ccc(c(c2C[n+]2ccc3cc(c(cc3c12)OC)OC)OC)OC)O.C(=O)(C(F)(F)F)[O-]
NPC21378,CHEMBL5658,O14684,Homo sapiens,CCc1oc(=O)c(c(c1C)O)Cc1c(O)c(CC=C(C)C)c(c(c1O)C(=O)C)O
NPC484493,CHEMBL4078,O42275,Electrophorus electricus,CC(C)NP(=O)(NC(C)C)OP(=O)(NC(C)C)NC(C)C
NPC244903,CHEMBL3318,O42713,Agaricus bisporus,COc1cc(ccc1O)[C@H]1[C@H]2C=C([C@H]3[C@@H]1CO[C@]3(C2=O)O)[C@@H]1[C@H](C(=O)c2c(cc(cc2O1)O)O)O
NPC241165,CHEMBL3242,O43570,Homo sapiens,CCCc1cc(=O)oc2c1c1OC(C)(C)C=Cc1c1c2[C@H](O)[C@@H]([C@H](O1)C)C
NPC98371,CHEMBL203,P00533,Homo sapiens,CN[C@@H]1C[C@H]2O[C@]([C@@H]1OC)(C)n1c3ccccc3c3c1c1n2c2ccccc2c1c1c3CN=C1O
NPC297145,CHEMBL204,P00734,Homo sapiens,COC(=O)[C@@H]1CCCN1C(=O)[C@H](N(C(=O)[C@@H](N=C([C@H]([C@H](O)C)N=C(C[C@@H]([C@@H](N=C([C@@H](N=C([C@@H](N=C([C@@H](C(C)C)OC(=O)[C@H](C(C)C)OC(=O)[C@@H](N(C)C)C(C)C)O)CC(C)C)O)CC(=N)O)O)CC(C)C)O)O)O)C)C)Cc1ccccc1
NPC31344,CHEMBL3305,P04278,Homo sapiens,COc1cc(ccc1O)C[C@H]1COC[C@@H]1Cc1ccc(c(c1)OC)O
NPC480244,CHEMBL2949,P05979,Ovis aries,CC(C)c1ccc2c(c1)c(c(CC(C)(C)C(=O)O)n2Cc1ccc(cc1)Cl)SC(C)(C)C
NPC473249,CHEMBL3880,P07900,Homo sapiens,CO[C@H]1C[C@H](C)CC2=C(NCCN(C)C)C(=O)C=C(C2=O)N=C(O)/C(=C/C=C\[C@@H]([C@H](/C(=C/[C@@H]([C@H]1O)C)/C)OC(=N)O)OC)/C
NPC281398,CHEMBL2622,P07943,Rattus norvegicus,O=C1c2c3CCCC(c3ccc2c2c(C1=O)c(C)co2)(C)C
NPC277510,CHEMBL1957,P08069,Homo sapiens,O=Cc1c(c2cc3c(o2)c(O)c(c(c3C=O)C)O)c(C)c(c(c1O)O)O
NPC469812,CHEMBL4302,P08183,Homo sapiens,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1CCC2(CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)OC1C(C)C
NPC473398,CHEMBL248,P08246,Homo sapiens,CC1C=CC=C(C(C(C(C=CC(=CC(=CC(C(C=C(CC=CC(=O)OC1C2=CSC(=N2)C(CC(C)C)OC(=O)NC)C)O)C)C)C)O)C)OC)C
NPC484440,CHEMBL3717,P08581,Homo sapiens,Cc1c(/C=C\2/c3cc(ccc3N=C2O)S(=O)(=O)N(C)c2cccc(c2)Cl)[nH]c(C)c1C(=O)N1CCN(C)CC1
NPC187022,CHEMBL1867,P08913,Homo sapiens,CC[C@H]1CN2CCc3cc(c(cc3[C@@H]2C[C@@H]1C[C@@H]1c2cc(c(cc2CCN1)OC)OC)OC)OC
NPC148523,CHEMBL215,P09917,Homo sapiens,C[C@@H]1CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@H]([C@@](C)([C@@H]5CC[C@@]34C)C(=O)O)O)[C@@H]2[C@H]1C
